"Object_Area_um2","CellSeedingDensity","ReporterGroup","Replicate"
23.0904,63,"POS",3
23.0904,63,"POS",3
109.679,63,"POS",3
23.0904,63,"POS",3
28.863,63,"POS",3
161.633,63,"POS",3
357.901,63,"POS",3
265.539,63,"POS",3
525.306,63,"POS",3
577.259,63,"POS",3
473.353,63,"POS",3
675.394,63,"POS",3
340.583,63,"POS",3
40.4082,63,"POS",3
1091.02,63,"POS",3
790.845,63,"POS",3
1500.87,63,"POS",3
40.4082,63,"POS",3
317.493,63,"POS",3
248.222,63,"POS",3
877.434,63,"POS",3
398.309,63,"POS",3
1564.37,63,"POS",3
98.1341,63,"POS",3
57.7259,63,"POS",3
300.175,63,"POS",3
144.315,63,"POS",3
150.087,63,"POS",3
28.863,63,"POS",3
34.6356,63,"POS",3
57.7259,63,"POS",3
126.997,63,"POS",3
28.863,63,"POS",3
23.0904,63,"POS",3
40.4082,63,"POS",3
23.0904,63,"POS",3
28.863,63,"POS",3
7360.06,63,"POS",3
1460.47,63,"POS",3
865.889,63,"POS",3
9380.47,63,"POS",3
640.758,63,"POS",3
877.434,63,"POS",3
877.434,63,"POS",3
848.571,63,"POS",3
842.799,63,"POS",3
375.219,63,"POS",3
311.72,63,"POS",3
421.399,63,"POS",3
513.761,63,"POS",3
663.848,63,"POS",3
496.443,63,"POS",3
669.621,63,"POS",3
7804.55,63,"POS",3
513.761,63,"POS",3
415.627,63,"POS",3
652.303,63,"POS",3
155.86,63,"POS",3
173.178,63,"POS",3
4883.61,63,"POS",3
767.755,63,"POS",3
450.262,63,"POS",3
744.665,63,"POS",3
334.81,63,"POS",3
317.493,63,"POS",3
13987,63,"POS",3
1252.65,63,"POS",3
6782.8,63,"POS",3
86.5889,63,"POS",3
23.0904,63,"POS",3
63.4985,63,"POS",3
981.341,63,"POS",3
623.44,63,"POS",3
40.4082,63,"POS",3
155.86,63,"POS",3
2355.22,63,"POS",3
230.904,63,"POS",3
