"Object_Area_um2","CellSeedingDensity","ReporterGroup","Replicate"
1512.42,500,"NEG",3
12722.8,500,"NEG",3
340.583,500,"NEG",3
2822.8,500,"NEG",3
4508.4,500,"NEG",3
138.542,500,"NEG",3
121.224,500,"NEG",3
352.128,500,"NEG",3
300.175,500,"NEG",3
213.586,500,"NEG",3
63.4985,500,"NEG",3
167.405,500,"NEG",3
23.0904,500,"NEG",3
277.085,500,"NEG",3
23.0904,500,"NEG",3
5004.84,500,"NEG",3
196.268,500,"NEG",3
57.7259,500,"NEG",3
23.0904,500,"NEG",3
288.63,500,"NEG",3
63.4985,500,"NEG",3
992.886,500,"NEG",3
57.7259,500,"NEG",3
34.6356,500,"NEG",3
34.6356,500,"NEG",3
23.0904,500,"NEG",3
969.796,500,"NEG",3
554.169,500,"NEG",3
877.434,500,"NEG",3
23.0904,500,"NEG",3
34.6356,500,"NEG",3
311.72,500,"NEG",3
98.1341,500,"NEG",3
46.1808,500,"NEG",3
28.863,500,"NEG",3
103.907,500,"NEG",3
305.947,500,"NEG",3
34.6356,500,"NEG",3
34.6356,500,"NEG",3
28.863,500,"NEG",3
138.542,500,"NEG",3
34.6356,500,"NEG",3
767.755,500,"NEG",3
23.0904,500,"NEG",3
536.851,500,"NEG",3
3671.37,500,"NEG",3
1362.33,500,"NEG",3
386.764,500,"NEG",3
571.487,500,"NEG",3
802.391,500,"NEG",3
975.568,500,"NEG",3
484.898,500,"NEG",3
75.0437,500,"NEG",3
121.224,500,"NEG",3
438.717,500,"NEG",3
225.131,500,"NEG",3
80.8163,500,"NEG",3
542.624,500,"NEG",3
294.402,500,"NEG",3
6453.76,500,"NEG",3
906.297,500,"NEG",3
184.723,500,"NEG",3
519.533,500,"NEG",3
9178.42,500,"NEG",3
98.1341,500,"NEG",3
86.5889,500,"NEG",3
305.947,500,"NEG",3
536.851,500,"NEG",3
531.079,500,"NEG",3
2274.4,500,"NEG",3
57.7259,500,"NEG",3
1096.79,500,"NEG",3
40.4082,500,"NEG",3
1610.55,500,"NEG",3
98.1341,500,"NEG",3
126.997,500,"NEG",3
300.175,500,"NEG",3
554.169,500,"NEG",3
34.6356,500,"NEG",3
126.997,500,"NEG",3
40.4082,500,"NEG",3
28.863,500,"NEG",3
28.863,500,"NEG",3
28.863,500,"NEG",3
340.583,500,"NEG",3
305.947,500,"NEG",3
2130.09,500,"NEG",3
1194.93,500,"NEG",3
704.256,500,"NEG",3
427.172,500,"NEG",3
51.9533,500,"NEG",3
1148.75,500,"NEG",3
450.262,500,"NEG",3
450.262,500,"NEG",3
519.533,500,"NEG",3
46.1808,500,"NEG",3
848.571,500,"NEG",3
271.312,500,"NEG",3
421.399,500,"NEG",3
1010.2,500,"NEG",3
207.813,500,"NEG",3
912.07,500,"NEG",3
1183.38,500,"NEG",3
294.402,500,"NEG",3
225.131,500,"NEG",3
421.399,500,"NEG",3
5351.19,500,"NEG",3
634.985,500,"NEG",3
733.119,500,"NEG",3
421.399,500,"NEG",3
357.901,500,"NEG",3
51.9533,500,"NEG",3
981.341,500,"NEG",3
779.3,500,"NEG",3
132.77,500,"NEG",3
161.633,500,"NEG",3
144.315,500,"NEG",3
583.032,500,"NEG",3
2078.13,500,"NEG",3
75.0437,500,"NEG",3
877.434,500,"NEG",3
150.087,500,"NEG",3
219.359,500,"NEG",3
1044.84,500,"NEG",3
115.452,500,"NEG",3
1431.6,500,"NEG",3
565.714,500,"NEG",3
63.4985,500,"NEG",3
1726.01,500,"NEG",3
1085.25,500,"NEG",3
271.312,500,"NEG",3
259.767,500,"NEG",3
294.402,500,"NEG",3
1160.29,500,"NEG",3
1015.98,500,"NEG",3
1148.75,500,"NEG",3
375.219,500,"NEG",3
4467.99,500,"NEG",3
69.2711,500,"NEG",3
496.443,500,"NEG",3
1420.06,500,"NEG",3
259.767,500,"NEG",3
738.892,500,"NEG",3
496.443,500,"NEG",3
507.988,500,"NEG",3
1477.78,500,"NEG",3
144.315,500,"NEG",3
669.621,500,"NEG",3
2378.31,500,"NEG",3
207.813,500,"NEG",3
1679.82,500,"NEG",3
577.259,500,"NEG",3
1223.79,500,"NEG",3
432.945,500,"NEG",3
669.621,500,"NEG",3
865.889,500,"NEG",3
1535.51,500,"NEG",3
219.359,500,"NEG",3
721.574,500,"NEG",3
121.224,500,"NEG",3
421.399,500,"NEG",3
23.0904,500,"NEG",3
248.222,500,"NEG",3
2586.12,500,"NEG",3
173.178,500,"NEG",3
3509.74,500,"NEG",3
288.63,500,"NEG",3
669.621,500,"NEG",3
583.032,500,"NEG",3
929.388,500,"NEG",3
1420.06,500,"NEG",3
929.388,500,"NEG",3
14419.9,500,"NEG",3
2055.04,500,"NEG",3
317.493,500,"NEG",3
1062.16,500,"NEG",3
155.86,500,"NEG",3
57.7259,500,"NEG",3
415.627,500,"NEG",3
138.542,500,"NEG",3
5709.1,500,"NEG",3
57.7259,500,"NEG",3
1085.25,500,"NEG",3
23.0904,500,"NEG",3
75.0437,500,"NEG",3
300.175,500,"NEG",3
184.723,500,"NEG",3
427.172,500,"NEG",3
484.898,500,"NEG",3
277.085,500,"NEG",3
357.901,500,"NEG",3
69.2711,500,"NEG",3
86.5889,500,"NEG",3
7885.36,500,"NEG",3
427.172,500,"NEG",3
5455.1,500,"NEG",3
6494.17,500,"NEG",3
686.939,500,"NEG",3
3625.19,500,"NEG",3
692.711,500,"NEG",3
248.222,500,"NEG",3
444.49,500,"NEG",3
1391.2,500,"NEG",3
346.356,500,"NEG",3
1119.88,500,"NEG",3
265.539,500,"NEG",3
837.026,500,"NEG",3
352.128,500,"NEG",3
40.4082,500,"NEG",3
617.668,500,"NEG",3
773.528,500,"NEG",3
138.542,500,"NEG",3
23.0904,500,"NEG",3
860.117,500,"NEG",3
692.711,500,"NEG",3
456.035,500,"NEG",3
23.0904,500,"NEG",3
34.6356,500,"NEG",3
1939.59,500,"NEG",3
75.0437,500,"NEG",3
40.4082,500,"NEG",3
161.633,500,"NEG",3
230.904,500,"NEG",3
63.4985,500,"NEG",3
900.525,500,"NEG",3
10263.7,500,"NEG",3
213.586,500,"NEG",3
271.312,500,"NEG",3
167.405,500,"NEG",3
1108.34,500,"NEG",3
842.799,500,"NEG",3
115.452,500,"NEG",3
184.723,500,"NEG",3
2938.25,500,"NEG",3
398.309,500,"NEG",3
409.854,500,"NEG",3
46.1808,500,"NEG",3
57.7259,500,"NEG",3
282.857,500,"NEG",3
138.542,500,"NEG",3
357.901,500,"NEG",3
28.863,500,"NEG",3
34.6356,500,"NEG",3
704.256,500,"NEG",3
98.1341,500,"NEG",3
92.3615,500,"NEG",3
727.347,500,"NEG",3
202.041,500,"NEG",3
28.863,500,"NEG",3
23.0904,500,"NEG",3
23.0904,500,"NEG",3
173.178,500,"NEG",3
23.0904,500,"NEG",3
34.6356,500,"NEG",3
46.1808,500,"NEG",3
144.315,500,"NEG",3
34.6356,500,"NEG",3
150.087,500,"NEG",3
669.621,500,"NEG",3
138.542,500,"NEG",3
2978.66,500,"NEG",3
184.723,500,"NEG",3
92.3615,500,"NEG",3
167.405,500,"NEG",3
51.9533,500,"NEG",3
57.7259,500,"NEG",3
63.4985,500,"NEG",3
86.5889,500,"NEG",3
23.0904,500,"NEG",3
40.4082,500,"NEG",3
28.863,500,"NEG",3
23.0904,500,"NEG",3
28.863,500,"NEG",3
34.6356,500,"NEG",3
23.0904,500,"NEG",3
34.6356,500,"NEG",3
750.437,500,"NEG",3
5720.64,500,"NEG",3
5951.54,500,"NEG",3
51.9533,500,"NEG",3
23.0904,500,"NEG",3
23.0904,500,"NEG",3
28.863,500,"NEG",3
34.6356,500,"NEG",3
28.863,500,"NEG",3
46.1808,500,"NEG",3
34.6356,500,"NEG",3
23.0904,500,"NEG",3
23.0904,500,"NEG",3
386.764,500,"NEG",3
623.44,500,"NEG",3
611.895,500,"NEG",3
1443.15,500,"NEG",3
357.901,500,"NEG",3
184.723,500,"NEG",3
1119.88,500,"NEG",3
929.388,500,"NEG",3
3249.97,500,"NEG",3
1091.02,500,"NEG",3
837.026,500,"NEG",3
2620.76,500,"NEG",3
184.723,500,"NEG",3
2014.64,500,"NEG",3
150.087,500,"NEG",3
883.207,500,"NEG",3
842.799,500,"NEG",3
352.128,500,"NEG",3
14616.2,500,"NEG",3
103.907,500,"NEG",3
380.991,500,"NEG",3
519.533,500,"NEG",3
196.268,500,"NEG",3
842.799,500,"NEG",3
277.085,500,"NEG",3
686.939,500,"NEG",3
13461.7,500,"NEG",3
2412.94,500,"NEG",3
542.624,500,"NEG",3
363.673,500,"NEG",3
150.087,500,"NEG",3
721.574,500,"NEG",3
5634.05,500,"NEG",3
265.539,500,"NEG",3
4548.8,500,"NEG",3
1645.19,500,"NEG",3
167.405,500,"NEG",3
13831.1,500,"NEG",3
3896.5,500,"NEG",3
69.2711,500,"NEG",3
750.437,500,"NEG",3
2078.13,500,"NEG",3
126.997,500,"NEG",3
98.1341,500,"NEG",3
225.131,500,"NEG",3
577.259,500,"NEG",3
109.679,500,"NEG",3
10408,500,"NEG",3
496.443,500,"NEG",3
121.224,500,"NEG",3
150.087,500,"NEG",3
1350.79,500,"NEG",3
236.676,500,"NEG",3
98.1341,500,"NEG",3
340.583,500,"NEG",3
761.982,500,"NEG",3
4594.98,500,"NEG",3
202.041,500,"NEG",3
1737.55,500,"NEG",3
288.63,500,"NEG",3
150.087,500,"NEG",3
935.16,500,"NEG",3
5743.73,500,"NEG",3
3278.83,500,"NEG",3
363.673,500,"NEG",3
1021.75,500,"NEG",3
144.315,500,"NEG",3
773.528,500,"NEG",3
565.714,500,"NEG",3
473.353,500,"NEG",3
28.863,500,"NEG",3
69.2711,500,"NEG",3
28.863,500,"NEG",3
710.029,500,"NEG",3
28.863,500,"NEG",3
1160.29,500,"NEG",3
34.6356,500,"NEG",3
40.4082,500,"NEG",3
34.6356,500,"NEG",3
190.496,500,"NEG",3
34.6356,500,"NEG",3
115.452,500,"NEG",3
51.9533,500,"NEG",3
340.583,500,"NEG",3
51.9533,500,"NEG",3
34.6356,500,"NEG",3
51.9533,500,"NEG",3
23.0904,500,"NEG",3
34.6356,500,"NEG",3
23.0904,500,"NEG",3
352.128,500,"NEG",3
652.303,500,"NEG",3
2447.58,500,"NEG",3
248.222,500,"NEG",3
409.854,500,"NEG",3
98.1341,500,"NEG",3
484.898,500,"NEG",3
409.854,500,"NEG",3
1674.05,500,"NEG",3
1702.92,500,"NEG",3
340.583,500,"NEG",3
681.166,500,"NEG",3
10084.7,500,"NEG",3
600.35,500,"NEG",3
138.542,500,"NEG",3
213.586,500,"NEG",3
219.359,500,"NEG",3
57.7259,500,"NEG",3
1246.88,500,"NEG",3
132.77,500,"NEG",3
103.907,500,"NEG",3
288.63,500,"NEG",3
23.0904,500,"NEG",3
329.038,500,"NEG",3
196.268,500,"NEG",3
202.041,500,"NEG",3
444.49,500,"NEG",3
588.805,500,"NEG",3
3382.74,500,"NEG",3
3960,500,"NEG",3
282.857,500,"NEG",3
969.796,500,"NEG",3
571.487,500,"NEG",3
150.087,500,"NEG",3
1091.02,500,"NEG",3
1004.43,500,"NEG",3
352.128,500,"NEG",3
282.857,500,"NEG",3
571.487,500,"NEG",3
259.767,500,"NEG",3
51.9533,500,"NEG",3
536.851,500,"NEG",3
1321.92,500,"NEG",3
126.997,500,"NEG",3
34.6356,500,"NEG",3
444.49,500,"NEG",3
242.449,500,"NEG",3
554.169,500,"NEG",3
121.224,500,"NEG",3
531.079,500,"NEG",3
773.528,500,"NEG",3
28.863,500,"NEG",3
1379.65,500,"NEG",3
1916.5,500,"NEG",3
150.087,500,"NEG",3
51.9533,500,"NEG",3
253.994,500,"NEG",3
236.676,500,"NEG",3
2441.81,500,"NEG",3
282.857,500,"NEG",3
1754.87,500,"NEG",3
1091.02,500,"NEG",3
4248.63,500,"NEG",3
340.583,500,"NEG",3
311.72,500,"NEG",3
912.07,500,"NEG",3
611.895,500,"NEG",3
219.359,500,"NEG",3
6990.61,500,"NEG",3
144.315,500,"NEG",3
6742.39,500,"NEG",3
23.0904,500,"NEG",3
28.863,500,"NEG",3
28.863,500,"NEG",3
75.0437,500,"NEG",3
28.863,500,"NEG",3
248.222,500,"NEG",3
23.0904,500,"NEG",3
126.997,500,"NEG",3
46.1808,500,"NEG",3
144.315,500,"NEG",3
92.3615,500,"NEG",3
28.863,500,"NEG",3
28.863,500,"NEG",3
34.6356,500,"NEG",3
40.4082,500,"NEG",3
28.863,500,"NEG",3
23.0904,500,"NEG",3
646.531,500,"NEG",3
14391.1,500,"NEG",3
28.863,500,"NEG",3
57.7259,500,"NEG",3
51.9533,500,"NEG",3
34.6356,500,"NEG",3
40.4082,500,"NEG",3
51.9533,500,"NEG",3
40.4082,500,"NEG",3
23.0904,500,"NEG",3
40.4082,500,"NEG",3
109.679,500,"NEG",3
34.6356,500,"NEG",3
34.6356,500,"NEG",3
132.77,500,"NEG",3
34.6356,500,"NEG",3
103.907,500,"NEG",3
790.845,500,"NEG",3
69.2711,500,"NEG",3
5599.42,500,"NEG",3
126.997,500,"NEG",3
305.947,500,"NEG",3
28.863,500,"NEG",3
28.863,500,"NEG",3
28.863,500,"NEG",3
57.7259,500,"NEG",3
1160.29,500,"NEG",3
132.77,500,"NEG",3
80.8163,500,"NEG",3
248.222,500,"NEG",3
802.391,500,"NEG",3
334.81,500,"NEG",3
1114.11,500,"NEG",3
5143.38,500,"NEG",3
444.49,500,"NEG",3
1148.75,500,"NEG",3
10633.1,500,"NEG",3
202.041,500,"NEG",3
710.029,500,"NEG",3
606.122,500,"NEG",3
4387.17,500,"NEG",3
715.802,500,"NEG",3
744.665,500,"NEG",3
519.533,500,"NEG",3
