"Object_Area_um2","CellSeedingDensity","ReporterGroup","Replicate"
126.997,500,"POS",4
5813,500,"POS",4
219.359,500,"POS",4
207.813,500,"POS",4
1044.84,500,"POS",4
11360.5,500,"POS",4
11175.7,500,"POS",4
3105.66,500,"POS",4
277.085,500,"POS",4
161.633,500,"POS",4
8901.34,500,"POS",4
375.219,500,"POS",4
323.265,500,"POS",4
18749.4,500,"POS",4
16827.1,500,"POS",4
207.813,500,"POS",4
92.3615,500,"POS",4
2055.04,500,"POS",4
161.633,500,"POS",4
8306.76,500,"POS",4
352.128,500,"POS",4
1148.75,500,"POS",4
831.254,500,"POS",4
3128.75,500,"POS",4
23.0904,500,"POS",4
1425.83,500,"POS",4
1518.19,500,"POS",4
18639.7,500,"POS",4
513.761,500,"POS",4
265.539,500,"POS",4
46.1808,500,"POS",4
3457.78,500,"POS",4
126.997,500,"POS",4
155.86,500,"POS",4
5991.95,500,"POS",4
1056.38,500,"POS",4
8889.8,500,"POS",4
1327.7,500,"POS",4
975.568,500,"POS",4
80.8163,500,"POS",4
4739.3,500,"POS",4
207.813,500,"POS",4
207.813,500,"POS",4
1420.06,500,"POS",4
398.309,500,"POS",4
594.577,500,"POS",4
571.487,500,"POS",4
132.77,500,"POS",4
1027.52,500,"POS",4
271.312,500,"POS",4
16648.2,500,"POS",4
860.117,500,"POS",4
3786.82,500,"POS",4
138.542,500,"POS",4
790.845,500,"POS",4
2516.85,500,"POS",4
346.356,500,"POS",4
138.542,500,"POS",4
8624.26,500,"POS",4
18460.8,500,"POS",4
629.213,500,"POS",4
357.901,500,"POS",4
103.907,500,"POS",4
4693.12,500,"POS",4
31610.7,500,"POS",4
230.904,500,"POS",4
271.312,500,"POS",4
20839.1,500,"POS",4
69.2711,500,"POS",4
28.863,500,"POS",4
75.0437,500,"POS",4
121.224,500,"POS",4
513.761,500,"POS",4
63.4985,500,"POS",4
28.863,500,"POS",4
277.085,500,"POS",4
1154.52,500,"POS",4
4797.03,500,"POS",4
294.402,500,"POS",4
12509.2,500,"POS",4
7446.65,500,"POS",4
583.032,500,"POS",4
2251.31,500,"POS",4
230.904,500,"POS",4
213.586,500,"POS",4
242.449,500,"POS",4
184.723,500,"POS",4
13773.4,500,"POS",4
940.933,500,"POS",4
167.405,500,"POS",4
848.571,500,"POS",4
213.586,500,"POS",4
386.764,500,"POS",4
51.9533,500,"POS",4
202.041,500,"POS",4
207.813,500,"POS",4
380.991,500,"POS",4
1206.47,500,"POS",4
1160.29,500,"POS",4
548.396,500,"POS",4
242.449,500,"POS",4
392.536,500,"POS",4
554.169,500,"POS",4
5714.87,500,"POS",4
490.671,500,"POS",4
271.312,500,"POS",4
11435.5,500,"POS",4
219.359,500,"POS",4
2505.31,500,"POS",4
10581.2,500,"POS",4
432.945,500,"POS",4
150.087,500,"POS",4
1368.1,500,"POS",4
710.029,500,"POS",4
178.95,500,"POS",4
467.58,500,"POS",4
958.251,500,"POS",4
75.0437,500,"POS",4
548.396,500,"POS",4
917.842,500,"POS",4
288.63,500,"POS",4
1223.79,500,"POS",4
14824,500,"POS",4
427.172,500,"POS",4
138.542,500,"POS",4
259.767,500,"POS",4
10558.1,500,"POS",4
3544.37,500,"POS",4
3330.79,500,"POS",4
138.542,500,"POS",4
178.95,500,"POS",4
438.717,500,"POS",4
779.3,500,"POS",4
1899.18,500,"POS",4
277.085,500,"POS",4
432.945,500,"POS",4
929.388,500,"POS",4
242.449,500,"POS",4
132.77,500,"POS",4
1460.47,500,"POS",4
178.95,500,"POS",4
253.994,500,"POS",4
23.0904,500,"POS",4
173.178,500,"POS",4
75.0437,500,"POS",4
161.633,500,"POS",4
28.863,500,"POS",4
28.863,500,"POS",4
63.4985,500,"POS",4
80.8163,500,"POS",4
11297,500,"POS",4
80.8163,500,"POS",4
1287.29,500,"POS",4
253.994,500,"POS",4
138.542,500,"POS",4
577.259,500,"POS",4
1645.19,500,"POS",4
479.125,500,"POS",4
69.2711,500,"POS",4
744.665,500,"POS",4
1241.11,500,"POS",4
69.2711,500,"POS",4
865.889,500,"POS",4
248.222,500,"POS",4
150.087,500,"POS",4
519.533,500,"POS",4
646.531,500,"POS",4
132.77,500,"POS",4
4918.25,500,"POS",4
900.525,500,"POS",4
1062.16,500,"POS",4
507.988,500,"POS",4
588.805,500,"POS",4
1396.97,500,"POS",4
496.443,500,"POS",4
161.633,500,"POS",4
1408.51,500,"POS",4
461.808,500,"POS",4
421.399,500,"POS",4
213.586,500,"POS",4
15747.6,500,"POS",4
744.665,500,"POS",4
46.1808,500,"POS",4
473.353,500,"POS",4
525.306,500,"POS",4
450.262,500,"POS",4
1639.42,500,"POS",4
340.583,500,"POS",4
860.117,500,"POS",4
756.21,500,"POS",4
300.175,500,"POS",4
236.676,500,"POS",4
196.268,500,"POS",4
2107,500,"POS",4
317.493,500,"POS",4
715.802,500,"POS",4
80.8163,500,"POS",4
13958.1,500,"POS",4
1004.43,500,"POS",4
686.939,500,"POS",4
4225.54,500,"POS",4
80.8163,500,"POS",4
761.982,500,"POS",4
2360.99,500,"POS",4
4110.09,500,"POS",4
20417.7,500,"POS",4
5258.83,500,"POS",4
4583.44,500,"POS",4
